"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid","gCSI.tissueid"
"740","TE 441.T","TE-441-T","TE 441.T","","","","","","TE-441-T","TE_441.T","TE-441-T","","TE441T",NA,"soft_tissue","soft_tissue","","","","","","soft_tissue","soft_tissue","soft_tissue ","","","soft_tissue","soft_tissue",NA
"741","TE-5","TE-5","TE-5","","","","","","TE-5","TE-5","TE-5","","TE5",NA,"oesophagus","oesophagus","","","","","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus",NA
"742","TE-6","TE-6","TE-6","","","","","","TE-6","TE-6","TE-6","","TE6",NA,"oesophagus","oesophagus","","","","","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus",NA
"743","TE-8","TE-8","TE-8","","","","","","TE-8","TE-8","TE-8","","TE8",NA,"oesophagus","oesophagus","","","","","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus",NA
"744","TE-9","TE-9","TE-9","","","","","","TE-9","TE-9","TE-9","","TE9",NA,"oesophagus","oesophagus","","","","","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus",NA
"745","TGBC11TKB","TGBC11TKB","TGBC11TKB","","","","","","TGBC11TKB","TGBC11TKB","TGBC11TKB","",NA,NA,"stomach","stomach","","","","","","Stomach","stomach","digestive_system ","","stomach","stomach",NA,NA
"746","TGBC1TKB","TGBC1TKB","","","","","","","TGBC1TKB","","TGBC1TKB","",NA,NA,"biliary_tract","","","","","","","biliary_tract","","digestive_system ","","biliary_tract","biliary_tract",NA,NA
"747","TGBC24TKB","TGBC24TKB","","","","","","","TGBC24TKB","","TGBC24TKB","",NA,NA,"biliary_tract","","","","","","","Biliary","","digestive_system ","","biliary_tract","biliary_tract",NA,NA
"748","TGW","TGW","","","","","","","TGW","","TGW","",NA,NA,"autonomic_ganglia","","","","","","","autonomic_ganglia","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA,NA
"749","THP-1","THP-1","THP-1","THP1","","","THP-1","THP1","THP-1","THP-1","THP-1","","THP1",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"750","TI-73","TI-73","T1-73","","","","","","","T1-73","","",NA,NA,"bone","bone","","","","","","","bone","","","bone","bone",NA,NA
"751","TK10","TK10","","TK10","RE:TK_10","","TK-10","","TK10","","TK10","",NA,"TK-10","kidney","","kidney","RE","","Kidney","","kidney","","kidney ","","kidney","kidney",NA,"Kidney"
"752","TT","TT","TT","TT","","","","","TT","TT","TT","",NA,NA,"thyroid","thyroid","thyroid_gland","","","","","thyroid","thyroid","thyroid ","","thyroid","thyroid",NA,NA
"753","TUR","TUR","","","","","","","TUR","","TUR","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"754","TYK-nu","TYK-nu","TYK-nu","","","","TYK-nu","TYKNU","TYK-nu","TYK-nu","TYK-nu","","TYKNU","TYK-nu","ovary","ovary","","","","Ovary","OVARY","ovary","ovary","urogenital_system ","","ovary","ovary","ovary","Ovary"
"755","UO31","U031","","UO31","RE:UO_31","","","","U031","UO-31","U031","","UO31",NA,"kidney","","kidney","RE","","","","Kidney","","kidney ","","","kidney","",NA
"756","U-118-MG","U-118-MG","U-118 MG","","","","","","U-118-MG","U-118_MG","U-118-MG","","U118MG",NA,"central_nervous_system","central_nervous_system","","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"757","U251","U251","U-251 MG","U251","CNS:U251","","","","U251","U-251_MG","U251","",NA,NA,"central_nervous_system","central_nervous_system","cns","CNS","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system",NA,NA
"758","U-266","U-266","U266B1","U266B1","","","","","U-266","U266B1","U-266","",NA,"U266B1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Blood"
"759","U-2-OS","U-2-OS","U-2 OS","","","","U-2 OS","U2OS","U-2-OS","U-2_OS","U-2-OS","","U2OS","U-2 OS","bone","bone","","","","Bone","BONE","bone","bone","bone ","","bone","bone","bone","Bone"
"760","U-698-M","U-698-M","","","","","U-698-M","","U-698-M","","U-698-M","",NA,"U-698-M","haematopoietic_and_lymphoid_tissue","","","","","Lymph Node","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Lymphoid"
"761","U-87-MG","U-87-MG","U-87 MG","U87MG","","","","","U-87-MG","U-87_MG","U-87-MG","","U87MG","U-87 MG","central_nervous_system","central_nervous_system","cns","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system","Brain"
"762","UACC-257","UACC-257","UACC-257","UACC257","ME:UACC_257","","UACC-257","","UACC-257","UACC-257","UACC-257","","UACC257",NA,"haematopoietic_and_lymphoid_tissue","skin","skin","ME","","Skin","","Skin","haematopoietic_and_lymphoid_tissue","skin ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","skin",NA
"763","UACC-62","UACC-62","UACC-62","UACC62","ME:UACC_62","","","","UACC-62","UACC-62","UACC-62","","UACC62","UACC-62","haematopoietic_and_lymphoid_tissue","skin","skin","ME","","","","Skin","haematopoietic_and_lymphoid_tissue","skin ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","skin","Skin"
"764","UACC-812","UACC-812","UACC-812","UACC812","","UACC812","UACC-812","","UACC-812","UACC-812","UACC-812","uacc812","UACC812",NA,"breast","breast","breast","","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast",NA
"765","UACC-893","UACC-893","UACC-893","UACC893","","UACC893","UACC-893","","UACC-893","UACC-893","UACC-893","uacc893",NA,NA,"breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast",NA,NA
"766","UMC-11","UMC-11","","UMC11","","","UMC-11","","UMC-11","","UMC-11","",NA,"UMC-11","lung","","lung","","","Lung","","Lung","","lung ","","lung","lung",NA,"Lung"
"767","UM-UC-3","UM-UC-3","UM-UC-3","UMUC3","","","UM-UC-3","UMUC3","UM-UC-3","UM-UC-3","UM-UC-3","","UMUC3","UM-UC-3","urinary_tract","urinary_tract","bladder","","","Urinary Bladder","URINARY_TRACT","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract","Urinary"
"768","VA-ES-BJ","VA-ES-BJ","","","","","","","VA-ES-BJ","","VA-ES-BJ","",NA,NA,"bone","","","","","","","Misc","","soft_tissue ","","bone","bone",NA,NA
"769","VM-CUB-1","VM-CUB-1","VM-CUB1","","","","","","VM-CUB-1","VM-CUB1","VM-CUB-1","","VMCUB1",NA,"urinary_tract","urinary_tract","","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"770","VMRC-MELG","VMRC-MELG","","","","","","","","","VMRC-MELG","",NA,NA,"skin","","","","","","","","","","","skin","skin",NA,NA
"771","VMRC-RCZ","VMRC-RCZ","VMRC-RCZ","","","","","","VMRC-RCZ","VMRC-RCZ","","","VMRCRCZ",NA,"kidney","kidney","","","","","","kidney","kidney","","","kidney","kidney","kidney",NA
"772","WERI-Rb-1","WERI-Rb-1","","","","","","","","","","",NA,NA,"eye","","","","","","","","","","","eye","eye",NA,NA
"773","WM-115","WM-115","WM-115","WM115","","","WM-115","","WM-115","WM-115","WM-115","","WM115","WM-115","skin","skin","skin","","","Skin","","Skin","skin","skin ","","skin","skin","skin","Skin"
"774","WSU-NHL","WSU-NHL","","","","","WSU-NHL","","WSU-NHL","","WSU-NHL","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","Blood","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"775","YAPC","YAPC","YAPC","YAPC","","","YAPC","","YAPC","YAPC","YAPC","","YAPC","YAPC","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"776","YH-13","YH-13","YH-13","","","","","","YH-13","YH-13","YH-13","","YH13",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"777","YKG-1","YKG-1","YKG1","","","","","","YKG-1","YKG1","YKG-1","","YKG1",NA,"central_nervous_system","central_nervous_system","","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"778","YT","YT","","","","","","","YT","","YT","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"779","ZR-75-30","ZR-75-30","ZR-75-30","","","ZR7530","ZR-75-30","","ZR-75-30","ZR-75-30","ZR-75-30","zr7530","ZR7530",NA,"breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast",NA
"780","1321N1","","1321N1","","","","","","","","","",NA,"1321N1","","central_nervous_system","","","","","","","","","","","central_nervous_system",NA,"Brain"
"781","143B","","143B","","","","143B","","","","","",NA,NA,"","bone","","","","Bone","","","","","","bone","bone",NA,NA
"782","253J","","253J","","","","","","","253J","","","253J",NA,"","urinary_tract","","","","","","","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract",NA
"783","253J-BV","","253J-BV","","","","","","","253J-BV","","","253JBV",NA,"","urinary_tract","","","","","","","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract",NA
"784","42-MG-BA","","42-MG-BA","","","","","","42-MG-BA","42-MG-BA","42-MG-BA","","42MGBA",NA,"","central_nervous_system","","","","","","Brain","central_nervous_system","","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"785","59M","","59M","","","","59M","","","59M","","",NA,NA,"","ovary","","","","Ovary","","","ovary","","","","ovary",NA,NA
"786","A1207","","A1207","","","","","","","","","",NA,NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA,NA
"787","ACC-MESO-1","","ACC-MESO-1","","","","","","","ACC-MESO-1","","","ACCMESO1",NA,"","pleura","","","","","","","pleura","","","pleura","pleura","pleura",NA
"788","ACCS","","ACCS","","","","","","","","","",NA,NA,"","urinary_tract","","","","","","","","","","","urinary_tract",NA,NA
"789","Alexander cells","","Alexander cells","","","","","","","","","",NA,NA,"","liver","","","","","","","","","","","liver",NA,NA
"790","ALL-SIL","","ALL-SIL","","","","","","ALL-SIL","ALL-SIL","ALL-SIL","","ALLSIL",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"791","AMO-1","","AMO-1","","","","AMO-1","AMO1","AMO-1","AMO-1","AMO-1","","AMO1","AMO-1","","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"792","AZ-521","","AZ-521","","","","","","","","","",NA,NA,"","stomach","","","","","","","","","","stomach","stomach",NA,NA
"793","BC-3C","","BC-3C","","","","","","","BC-3C","","","BC3C",NA,"","urinary_tract","","","","","","","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract",NA
"794","BCP-1","","BCP-1","","","","","","","BCP-1","","","BCP1",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"795","BDCM","","BDCM","BDCM","","","","","","BDCM","","","BDCM",NA,"","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"796","BGC-823","","BGC-823","","","","","","","","","",NA,NA,"","","","","","","","","","","","","",NA,NA
"797","BICR 16","","BICR 16","","","","","","","BICR_16","","","BICR16",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"798","BICR 18","","BICR 18","","","","","","","BICR_18","","","BICR18",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"799","BICR 22","","BICR 22","","","","BICR 22","","BICR22","BICR_22","BICR22","","BICR22",NA,"","upper_aerodigestive_tract","","","","Tongue","","Head & Neck","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"800","BICR 31","","BICR 31","","","","BICR 31","","BICR31","BICR_31","BICR31","","BICR31",NA,"","upper_aerodigestive_tract","","","","Tongue","","Head & Neck","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"801","BICR 56","","BICR 56","","","","","","","BICR_56","","","BICR56",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"802","BICR 6","","BICR 6","","","","","","","BICR_6","","","BICR6",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"803","BJ hTERT","","BJ hTERT","","","","","","","","","",NA,NA,"","skin","","","","","","","","","","","skin",NA,NA
"804","BT-483","","BT-483","","","BT483","BT-483","","BT-483","BT-483","BT-483","bt483",NA,NA,"","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast",NA,NA
"805","CADO-ES1","","CADO-ES1","","","","","","CADO-ES1","CADO-ES1","CADO-ES1","","CADOES1",NA,"","bone","","","","","","bone","bone","","","bone","bone","bone",NA
"806","Caki-2","","Caki-2","CAKI2","","","Caki-2","","","Caki-2","","","CAKI2","Caki-2","","kidney","kidney","","","Kidney","","","kidney","","","kidney","kidney","kidney","Kidney"
"807","CAL-29","","CAL-29","","","","","","CAL-29","CAL-29","CAL-29","","CAL29",NA,"","urinary_tract","","","","","","Bladder","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract",NA
"808","CAL-78","","CAL-78","","","","","","CAL-78","CAL-78","CAL-78","","CAL78",NA,"","bone","","","","","","Bone","soft_tissue","","","soft_tissue","soft_tissue","bone",NA
"809","CCK-81","","CCK-81","","","","","","CCK-81","CCK-81","CCK-81","","CCK81",NA,"","large_intestine","","","","","","Intestine","large_intestine","","","large_intestine","large_intestine","large_intestine",NA
"810","CH-157MN","","CH-157MN","","","","","","","","","",NA,NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA,NA
"811","CI-1","","CI-1","","","","CI-1","","","CI-1","","","CI1","CI-1","","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid"
"812","CJM","","CJM","","","","","","","CJM","","","CJM",NA,"","skin","","","","","","","skin","","","skin","skin","skin",NA
"813","CL-11","","CL-11","","","","CL-11","","CL-11","CL-11","CL-11","","CL11",NA,"","large_intestine","","","","Colon","","Intestine","large_intestine","","","","large_intestine","large_intestine",NA
"814","CL-14","","CL-14","","","","","","","CL-14","","",NA,NA,"","large_intestine","","","","","","","large_intestine","","","","large_intestine",NA,NA
"815","CL-34","","CL-34","","","","CL-34","CL34","CL-34","CL-34","","","CL34",NA,"","large_intestine","","","","Colon","LARGE_INTESTINE","large_intestine","large_intestine","","","","large_intestine","large_intestine",NA
"816","CL-40","","CL-40","","","","CL-40","CL40","CL-40","CL-40","CL-40","",NA,NA,"","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","","","","large_intestine",NA,NA
"817","CMK-11-5","","CMK-11-5","","","","","","","","","",NA,NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA,NA
"818","CMK-86","","CMK-86","","","","","","","","","",NA,NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"819","COLO 201","","COLO 201","COLO201","","","COLO 201","","","COLO_201","","","COLO201","COLO 201","","large_intestine","colon","","","Colon","","","large_intestine","","","","large_intestine","large_intestine","Colon"
"820","COLO 775","","COLO 775","","","","","","","","","",NA,NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA,NA
"821","COLO-677","","COLO-677","","","","","","","","","",NA,NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","lung","lung",NA,NA
"822","COLO-699","","COLO-699","","","","COLO 699","COLO699","","","","","COLO699",NA,"","","","","","Lung","LUNG","","","","","lung","lung","",NA
"823","COLO-704","","COLO-704","COLO704","","","COLO-704","","","","","",NA,NA,"","ovary","ovary","","","Ovary","","","","","","ovary","ovary",NA,NA
"824","COLO-783","","COLO-783","","","","COLO-783","","COLO-783","COLO-783","COLO-783","",NA,NA,"","skin","","","","Skin","","Skin","skin","","","","skin",NA,NA
"825","COLO-818","","COLO-818","","","","COLO-818","","","","","",NA,NA,"","skin","","","","Skin","","","","","","","skin",NA,NA
"826","COLO-849","","COLO-849","","","","COLO 849","","","","","",NA,NA,"","skin","","","","Skin","","","","","","skin","skin",NA,NA
"827","COR-L24","","COR-L24","","","","","","","COR-L24","","",NA,NA,"","lung","","","","","","","lung","","","","lung",NA,NA
"828","COR-L311","","COR-L311","","","","","","COR-L311","COR-L311","COR-L311","",NA,NA,"","lung","","","","","","Lung","lung","","","lung","lung",NA,NA
"829","COR-L47","","COR-L47","","","","COR-L47","","","COR-L47","","","CORL47",NA,"","lung","","","","Lung","","","lung","","","lung","lung","lung",NA
"830","COR-L95","","COR-L95","","","","","","COR-L95","COR-L95","COR-L95","","CORL95",NA,"","lung","","","","","","Lung","lung","","","","lung","lung",NA
"831","COV318","","COV318","","","","COV318","COV318","","COV318","","",NA,"COV318","","ovary","","","","Ovary","OVARY","","ovary","","","","ovary",NA,"Ovary"
"832","COV362","","COV362","","","","COV362","COV362","","COV362","","","COV362",NA,"","ovary","","","","Ovary","OVARY","","ovary","","","","ovary","ovary",NA
"833","COV434","","COV434","","","","COV434","COV434","","COV434","","","COV434",NA,"","ovary","","","","Ovary","OVARY","","ovary","","","ovary","ovary","ovary",NA
"834","COV504","","COV504","","","","COV504","","","","","",NA,"COV504","","ovary","","","","Ovary","","","","","","","ovary",NA,"Ovary"
"835","COV644","","COV644","","","","COV644","COV644","","COV644","","","COV644",NA,"","ovary","","","","Ovary","OVARY","","ovary","","","","ovary","ovary",NA
"836","D341 Med","","D341 Med","D341MED","","","","","","D341_Med","","",NA,NA,"","central_nervous_system","brain","","","","","","central_nervous_system","","","","central_nervous_system",NA,NA
"837","DAN-G","","DAN-G","","","","DAN-G","","DAN-G","DAN-G","DAN-G","","DANG",NA,"","pancreas","","","","Pancreas","","Pancreas","pancreas","","","pancreas","pancreas","pancreas",NA
"838","DFCI024","","DFCI024","","","","","","","","","",NA,NA,"","lung","","","","","","","","","","lung","lung",NA,NA
"839","DLD-1","","DLD-1","DLD1","","","DLD-1","DLD1","","","","","DLD1",NA,"","large_intestine","colon","","","Colon","LARGE_INTESTINE","","","","","large_intestine","large_intestine","large_intestine",NA
"840","DM-3","","DM-3","","","","","","","DM-3","","",NA,NA,"","pleura","","","","","","","pleura","","","","pleura",NA,NA
"841","DMS 454","","DMS 454","","","","DMS 454","","","DMS_454","","","DMS454",NA,"","lung","","","","Lung","","","lung","","","","lung","lung",NA
"842","DND-41","","DND-41","","","","","","DND-41","DND-41","","","DND41",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"843","DOV13","","DOV13","","","","","","DOV13","","","","DOV13",NA,"","","","","","","","ovary","","","","","ovary","",NA
